"","X","text"
"1",1,"I. On Saving Time"
"2",2,"Greetings from Seneca to his friend Lucilius."
"3",3,"Continue to act thus"
"4",3,"my dear Lucilius – set yourself free for your own sake; gather and save your time"
"5",3,"which till lately has been forced from you"
"6",3,"or filched away"
"7",3,"or has merely slipped from your hands. Make yourself believe the truth of my words"
"8",3,"– that certain moments are torn from us"
"9",3,"that some are gently removed"
"10",3,"and that others glide beyond our reach. The most disgraceful kind of loss"
"11",3,"however"
"12",3,"is that due to carelessness. Furthermore"
"13",3,"if you will pay close heed to the problem"
"14",3,"you will find that the largest portion of our life passes while we are doing ill"
"15",3,"a goodly share while we are doing nothing"
"16",3,"and the whole while we are doing that which is not to the purpose. What man can you show me who places any value on his time"
"17",3,"who reckons the worth of each day"
"18",3,"who understands that he is dying daily? For we are mistaken when we look forward to death; the major portion of death has already passed. Whatever years lie behind us are in death's hands."
"19",4,"Therefore"
"20",4,"Lucilius"
"21",4,"do as you write me that you are doing: hold every hour in your grasp. Lay hold of to-day's task"
"22",4,"and you will not need to depend so much upon to-morrow's. While we are postponing"
"23",4,"life speeds by. Nothing"
"24",4,"Lucilius"
"25",4,"is ours"
"26",4,"except time. We were entrusted by nature with the ownership of this single thing"
"27",4,"so fleeting and slippery that anyone who will can oust us from possession. What fools these mortals be! They allow the cheapest and most useless things"
"28",4,"which can easily be replaced"
"29",4,"to be charged in the reckoning"
"30",4,"after they have acquired them; but they never regard themselves as in debt when they have received some of that precious commodity"
"31",4,"– time! And yet time is the one loan which even a grateful recipient cannot repay."
"32",5,"You may desire to know how I"
"33",5,"who preach to you so freely"
"34",5,"am practising. I confess frankly: my expense account balances"
"35",5,"as you would expect from one who is free-handed but careful. I cannot boast that I waste nothing"
"36",5,"but I can at least tell you what I am wasting"
"37",5,"and the cause and manner of the loss; I can give you the reasons why I am a poor man. My situation"
"38",5,"however"
"39",5,"is the same as that of many who are reduced to slender means through no fault of their own: every one forgives them"
"40",5,"but no one comes to their rescue."
"41",6,"What is the state of things"
"42",6,"then? It is this: I do not regard a man as poor"
"43",6,"if the little which remains is enough for him. I advise you"
"44",6,"however"
"45",6,"to keep what is really yours; and you cannot begin too early. For"
"46",6,"as our ancestors believed"
"47",6,"it is too late to spare when you reach the dregs of the cask. Of that which remains at the bottom"
"48",6,"the amount is slight"
"49",6,"and the quality is vile. Farewell."
"50",7,"II. On Discursiveness in Reading"
"51",8,"Judging by what you write me"
"52",8,"and by what I hear"
"53",8,"I am forming a good opinion regarding your future. You do not run hither and thither and distract yourself by changing your abode; for such restlessness is the sign of a disordered spirit. The primary indication"
"54",8,"to my thinking"
"55",8,"of a well-ordered mind is a man's ability to remain in one place and linger in his own company. Be careful"
"56",8,"however"
"57",8,"lest this reading of many authors and books of every sort may tend to make you discursive and unsteady. You must linger among a limited number of master-thinkers"
"58",8,"and digest their works"
"59",8,"if you would derive ideas which shall win firm hold in your mind. Everywhere means nowhere. When a person spends all his time in foreign travel"
"60",8,"he ends by having many acquaintances"
